Year,Month,Personal_Data_Breach,Phishing_Social_Eng,Network_System_Exploit,Card_Fraud_Online_Theft,Rats_Ransomware_Trojans,SectorAttacks,TotalAttacks
2019,Jan,3,3,3,3,2,3,63
2019,Feb,4,4,4,4,4,4,86
2019,Mar,0,1,1,1,0,1,76
2019,Apr,6,5,6,6,5,6,89
2019,May,1,2,2,2,2,2,80
2019,Jun,5,5,7,4,4,7,90
2019,Jul,2,1,2,2,2,2,103
2019,Aug,6,6,6,6,4,7,114
2019,Sep,4,2,6,4,6,6,94
2019,Oct,5,3,4,4,4,5,103
2019,Nov,1,1,1,1,1,1,83
2019,Dec,2,2,3,3,3,3,88
2020,Jan,6,3,8,8,7,10,81
2020,Feb,11,6,9,11,9,11,114
2020,Mar,11,6,10,8,9,12,93
2020,Apr,4,4,5,5,6,6,93
2020,May,8,5,10,7,9,11,123
2020,Jun,8,7,8,7,9,9,116
2020,Jul,3,3,3,3,3,4,97
2020,Aug,9,5,8,9,8,9,111
2020,Sep,8,4,6,8,3,8,125
2020,Oct,5,3,4,4,4,5,134
2020,Nov,5,3,4,4,4,5,134
2020,Dec,8,7,9,8,9,9,136
2021,Jan,4,3,4,4,2,5,96
2021,Feb,9,8,7,7,9,10,127
2021,Mar,1,1,1,1,1,1,67
2021,Apr,3,4,4,4,4,4,146
2021,May,11,7,11,12,11,13,112
2021,Jun,5,4,3,5,4,6,109
2021,Jul,7,7,8,8,7,8,98
2021,Aug,8,9,9,7,9,10,80
2021,Sep,9,5,10,9,8,10,112
2021,Oct,5,3,5,5,4,5,54
2021,Nov,18,12,20,18,18,20,125
2021,Dec,17,12,14,16,14,19,125
2022,Jan,15,9,15,12,12,16,110
2022,Feb,12,11,12,10,12,13,112
2022,Mar,6,6,8,5,6,8,126
2022,Apr,14,8,14,12,12,16,98
2022,May,15,9,16,15,11,16,117
2022,Jun,11,9,12,12,10,12,121
2022,Jul,3,1,3,3,3,3,107
2022,Aug,9,7,8,8,9,9,107
2022,Sep,11,7,11,10,9,11,130
2022,Oct,9,5,9,9,8,10,106
2022,Nov,7,5,7,6,7,7,101
2022,Dec,8,4,7,8,5,8,118
