Year,Month,Personal_Data_Breach,Phishing_Social_Eng,Network_System_Exploit,Card_Fraud_Online_Theft,Rats_Ransomware_Trojans,SectorAttacks,TotalAttacks
2019,Jan,10,10,4,8,4,10,63
2019,Feb,13,13,6,12,11,14,86
2019,Mar,5,4,3,5,2,6,76
2019,Apr,18,18,13,19,11,20,89
2019,May,9,7,8,12,5,13,80
2019,Jun,9,11,11,11,12,14,90
2019,Jul,7,5,5,9,6,9,103
2019,Aug,17,15,13,17,13,21,114
2019,Sep,6,6,7,7,7,9,94
2019,Oct,18,17,11,14,13,18,103
2019,Nov,12,11,8,10,7,12,83
2019,Dec,13,14,12,15,10,15,88
2020,Jan,20,16,10,20,12,21,81
2020,Feb,41,29,23,41,20,42,114
2020,Mar,26,20,16,24,12,27,93
2020,Apr,22,19,16,20,17,24,93
2020,May,31,20,22,28,25,33,123
2020,Jun,31,23,22,31,20,33,116
2020,Jul,29,26,18,31,23,33,97
2020,Aug,35,26,26,38,24,40,111
2020,Sep,34,24,16,34,22,35,125
2020,Oct,28,23,22,33,24,35,134
2020,Nov,28,23,22,33,24,35,134
2020,Dec,41,22,27,42,25,43,136
2021,Jan,18,14,11,18,11,19,96
2021,Feb,29,27,14,27,19,30,127
2021,Mar,29,29,8,29,17,30,67
2021,Apr,39,36,15,38,33,40,146
2021,May,44,39,18,42,30,45,112
2021,Jun,45,42,20,43,30,45,109
2021,Jul,34,33,13,33,22,36,98
2021,Aug,28,24,15,24,15,29,80
2021,Sep,35,30,20,33,22,38,112
2021,Oct,18,16,10,18,11,18,54
2021,Nov,39,34,24,40,27,41,125
2021,Dec,36,27,27,35,28,37,125
2022,Jan,31,25,22,30,21,31,110
2022,Feb,37,33,28,35,21,39,112
2022,Mar,28,14,24,26,21,30,126
2022,Apr,25,21,19,23,16,28,98
2022,May,22,16,18,22,16,22,117
2022,Jun,23,17,23,24,20,24,121
2022,Jul,14,13,8,14,8,15,107
2022,Aug,16,13,12,16,10,17,107
2022,Sep,24,22,16,24,13,24,130
2022,Oct,18,16,15,18,11,19,106
2022,Nov,19,16,15,18,14,20,101
2022,Dec,19,16,18,17,17,20,118
