Year,Month,Personal_Data_Breach,Phishing_Social_Eng,Network_System_Exploit,Card_Fraud_Online_Theft,Rats_Ransomware_Trojans,SectorAttacks,TotalAttacks
2019,Jan,1,1,1,1,1,3,63
2019,Feb,2,1,2,2,1,2,86
2019,Mar,6,6,6,5,5,10,76
2019,Apr,9,8,6,9,6,9,89
2019,May,2,4,2,2,1,5,80
2019,Jun,5,4,5,4,3,6,90
2019,Jul,8,5,5,6,4,10,103
2019,Aug,6,5,3,5,5,9,114
2019,Sep,3,3,5,4,5,9,94
2019,Oct,7,6,5,5,7,9,103
2019,Nov,5,5,3,6,3,7,83
2019,Dec,5,7,7,9,8,10,88
2020,Jan,19,13,13,18,14,23,81
2020,Feb,37,28,19,37,17,41,114
2020,Mar,27,20,19,21,17,28,93
2020,Apr,20,17,16,16,14,23,93
2020,May,37,24,26,32,32,43,123
2020,Jun,30,23,25,29,18,34,116
2020,Jul,23,17,16,20,17,23,97
2020,Aug,32,25,18,30,18,34,111
2020,Sep,40,24,19,40,26,44,125
2020,Oct,32,26,20,25,22,35,134
2020,Nov,32,26,20,25,22,35,134
2020,Dec,42,21,26,42,33,48,136
2021,Jan,17,15,11,16,11,21,96
2021,Feb,29,25,14,25,21,33,127
2021,Mar,24,22,8,24,12,25,67
2021,Apr,44,35,28,40,40,49,146
2021,May,50,46,25,49,39,51,112
2021,Jun,41,38,23,41,29,41,109
2021,Jul,37,35,20,36,29,40,98
2021,Aug,25,20,12,23,15,27,80
2021,Sep,34,24,24,35,22,38,112
2021,Oct,19,18,15,20,14,21,54
2021,Nov,36,35,25,34,25,39,125
2021,Dec,39,27,25,35,28,42,125
2022,Jan,29,25,21,27,26,34,110
2022,Feb,36,29,29,34,30,42,112
2022,Mar,48,35,39,37,35,51,126
2022,Apr,25,22,22,22,16,30,98
2022,May,20,12,20,20,14,23,117
2022,Jun,18,13,17,16,15,20,121
2022,Jul,19,18,19,17,17,23,107
2022,Aug,11,8,10,11,8,12,107
2022,Sep,26,23,24,23,23,30,130
2022,Oct,15,10,14,16,15,17,106
2022,Nov,16,11,16,15,14,19,101
2022,Dec,19,17,17,16,15,20,118
