Year,Month,Personal_Data_Breach,Phishing_Social_Eng,Network_System_Exploit,Card_Fraud_Online_Theft,Rats_Ransomware_Trojans,SectorAttacks,TotalAttacks
2019,Jan,5,4,2,4,0,5,63
2019,Feb,11,6,2,5,2,11,86
2019,Mar,10,6,1,8,6,10,76
2019,Apr,18,14,6,14,6,18,89
2019,May,9,6,4,8,2,9,80
2019,Jun,6,3,0,3,1,6,90
2019,Jul,7,4,1,4,5,8,103
2019,Aug,12,9,5,9,3,13,114
2019,Sep,4,2,0,1,1,4,94
2019,Oct,13,8,2,9,5,13,103
2019,Nov,12,8,4,8,3,12,83
2019,Dec,4,3,3,3,4,5,88
2020,Jan,9,7,4,3,5,9,81
2020,Feb,23,16,10,21,9,23,114
2020,Mar,24,18,16,17,12,25,93
2020,Apr,8,5,4,5,5,8,93
2020,May,13,8,7,10,7,13,123
2020,Jun,14,9,4,12,8,14,116
2020,Jul,9,5,4,7,5,9,97
2020,Aug,15,10,8,13,11,15,111
2020,Sep,23,17,12,20,14,24,125
2020,Oct,19,10,6,15,10,19,134
2020,Nov,19,10,6,15,10,19,134
2020,Dec,36,17,19,33,24,37,136
2021,Jan,10,6,3,7,5,10,96
2021,Feb,12,7,3,7,6,13,127
2021,Mar,7,6,3,7,2,8,67
2021,Apr,14,8,6,11,12,17,146
2021,May,22,16,11,17,16,22,112
2021,Jun,24,17,6,23,17,24,109
2021,Jul,16,14,5,15,8,16,98
2021,Aug,16,11,6,13,10,16,80
2021,Sep,16,9,8,15,10,16,112
2021,Oct,10,9,6,10,6,10,54
2021,Nov,16,12,8,14,12,17,125
2021,Dec,22,11,15,21,16,22,125
2022,Jan,19,16,12,17,12,19,110
2022,Feb,13,6,5,12,7,13,112
2022,Mar,16,7,11,15,9,16,126
2022,Apr,11,8,6,10,4,11,98
2022,May,10,9,7,10,6,10,117
2022,Jun,15,11,10,15,10,15,121
2022,Jul,8,5,5,6,6,8,107
2022,Aug,13,7,8,13,9,13,107
2022,Sep,17,11,10,15,15,17,130
2022,Oct,9,7,5,7,7,9,106
2022,Nov,9,5,7,7,8,9,101
2022,Dec,18,9,10,12,11,18,118
